Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Sun Jun 24 08:37:50 +0000 2018,1.0,0.0,0.0,"RT @BBCWorld: New Zealand's PM reveals her daughter's name as she leaves hospital in Auckland 👶🇳🇿

https://t.co/5E751apfOg https://t.co/Zt7…",61,@BBC
0.0,Sun Jun 24 08:20:08 +0000 2018,1.0,0.0,0.0,"What's happened since #BluePlanet2 first aired and what does Sir David Attenborough think about the response?
👉… https://t.co/Qo4Nu3wQHT",62,@BBC
0.3182,Sun Jun 24 07:01:05 +0000 2018,0.413,0.24,0.347,"⚽️❤️ I. Bloody. Love. Football. 
#WorldCup https://t.co/vrmHGAfFYY",63,@BBC
0.0,Sat Jun 23 20:12:00 +0000 2018,1.0,0.0,0.0,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/KwcWT38E6F",64,@BBC
0.0,Sat Jun 23 19:02:02 +0000 2018,1.0,0.0,0.0,"Live coverage of England's clash with New Zealand in Colorado, USA. 🏉

Rugby League: New Zealand v England | 9pm |… https://t.co/gNfWK4lAsg",65,@BBC
0.5719,Sat Jun 23 17:06:01 +0000 2018,0.821,0.0,0.179,☀️🙌 Thousands of people gathered at Stonehenge this week to watch the sunrise and celebrate the #SummerSolstice. https://t.co/f0PA5HYgRK,66,@BBC
0.7412,Sat Jun 23 16:02:02 +0000 2018,0.614,0.0,0.386,"⚽🐝 Goal!!!
These clever bumblebees have been taught to play football. https://t.co/00fEPKxEYQ",67,@BBC
0.4019,Sat Jun 23 15:00:27 +0000 2018,0.847,0.0,0.153,"📱♿️ This 13-year-old made an app to help disabled people find accessible services. 
(via @BBCThree) https://t.co/EkjrhQOFi3",68,@BBC
0.0,Sat Jun 23 14:02:01 +0000 2018,1.0,0.0,0.0,"Unlocking the hidden life of Frida Kahlo.
👉 https://t.co/g8KqGCs5JX https://t.co/SyRnFXRvNQ",69,@BBC
0.0,Sat Jun 23 12:57:05 +0000 2018,1.0,0.0,0.0,"🎶🎤Meet the stockbroker who writes hits for @LittleMix and @JessGlynne 

https://t.co/zYl0M4CHcj https://t.co/s8HYxwiDKr",70,@BBC
0.0,Sat Jun 23 12:00:16 +0000 2018,1.0,0.0,0.0,"🎶 SOUND ON 🎶 
Below the big blue there is green! 💚
#OurBluePlanet w/ @OceanX https://t.co/E46jJvtmrN",71,@BBC
0.0,Sat Jun 23 11:01:06 +0000 2018,1.0,0.0,0.0,"Faced with extreme weather, Bolivian farmers are going underground.
#BBCTakingTheTemperature https://t.co/ocATWI0jPL",72,@BBC
0.0,Sat Jun 23 10:02:04 +0000 2018,0.675,0.143,0.183,"The ban on microbeads in certain products has begun in England and Scotland.

Here are some natural alternatives so… https://t.co/vqESNyr5qD",73,@BBC
0.0,Sat Jun 23 09:01:05 +0000 2018,1.0,0.0,0.0,"😍🐿 Baby squirrels grow up so fast! 
#SuperSquirrels https://t.co/NzSE4lUIC8",74,@BBC
0.2732,Sat Jun 23 07:59:02 +0000 2018,0.86,0.0,0.14,There has been a significant fall in the number of cases of HPV following the introduction of a vaccine for young w… https://t.co/19trkIMZ91,75,@BBC
